arabic,english,tags
مُعْتَدِل,moderate,adj Chapter_12
مُعْظَم,most,noun Chapter_12
نَهار,daytime,noun Times Chapter_12
اسْتَحَمَّ (يَستَحِمُّ) استِحْمام,"to bathe, to take a bath or shower",verb Chapter_13
اِنتَقَلَ (يَنتَقِلُ) اِنْتِقال,"to move, to relocate",verb Chapter_13 Chapter_15
بِحاجةٍ (إلى),in need of,phrase Chapter_13
تَبّولة,tabouleh salad,noun Food Chapter_13
ثُمَّ,"then, and again",conj Chapter_13
جَهَّزَ (يُجَهِّزُ) تَجْهيز,to prepare,verb Chapter_13
حافِلة,"bus, tram",noun Transportation Chapter_13
حافِلات,"buses, trams",noun Transportation Chapter_13
حَلَقَ (يَحْلِقُ) حَلْق,to shave,verb Chapter_13
حَمّام,bathroom,noun Household Chapter_13
حمّامات,bathrooms,noun Household Chapter_13
خَبَر,news story,noun Chapter_13
أخْبار,news stories,noun Chapter_13
خُضرة,vegetable,noun Food Chapter_13
خُضَر,vegetables,noun Food Chapter_13
ذَقْن,"chin (or beard, when shaving)",noun Body Chapter_13
ذُقون,"chins (or beards, when shaving)",noun Body Chapter_13
رَتّبَ (يُرَتِّبُ) تَرْتيب,to organize,verb Chapter_13
رَجَعَ (يَرْجِعُ) رُجوع,"to return, to go back",verb Chapter_13
رِسالة,"letter, message",noun Chapter_13
رَسائِل,"letters, messages",noun Chapter_13
سِنٌّ,tooth,noun Body Chapter_13
أسْنان,teeth,noun Body Chapter_13
شاهَدَ (يُشاهِدُ) مُشاهَدة,"to witness, to see, to watch",verb Chapter_13 Chapter_19
صابون,soap,noun Chapter_13
صَحْن,plate,noun Dishes Chapter_13
صُحون,plates,noun Dishes Chapter_13
عادَ (يَعودُ) عَوْدة,"to go back, to return",verb Chapter_13 Chapter_22
عالَم,world,noun Chapter_13
عَوالِم,worlds,noun Chapter_13
عُطْلة,break; vacation,noun Chapter_13 Chapter_14
عُطْلات/عُطَل,breaks; vacations,noun Chapter_13 Chapter_14
عَشاء,dinner,noun Food Chapter_13
أعْشِية,dinners,noun Food Chapter_13
غَداء,lunch,noun Food Chapter_13
أغْدِية,lunches,noun Food Chapter_13
غَسَلَ (يَغْسِلُ) غَسْل,to wash,verb Chapter_13
غَيَّرَ (يُغَيِّرُ) تَغيير,to change something,verb Chapter_13
فُرْشاة,brush,noun Chapter_13
فَراشٍ,brushes,noun Chapter_13
قَضى (يَقضي) قَضاء,to spend time,verb Chapter_13
كِتابة,writing,noun Subjects Chapter_13
كَثير,"much, a great deal",noun Common Chapter_13
كَثيرون/كِثار,"much, a great deal (pl)",noun Common Chapter_13
ﻷَنَّ,because,particle Chapter_13
لَبَن,yogurt,noun Food Chapter_13
لِماذا,why,particle Chapter_13
مُبَكِّر,one coming early,noun Chapter_13
مُبَكِّرون,one coming early (pl),noun Chapter_13
مُتَأخِّر,one coming late,noun Chapter_13
مُتَأخِّرهن,one coming late (pl),noun Chapter_13
مٌدَمَّس,stewed,adj Chapter_13
مَرّة,"once, one occurrence",noun Common Chapter_13
مَرّات,"once, one occurrence (pl)",noun Common Chapter_13
مُسَلسَل,"show, (television) series, serial",noun Entertainment Chapter_13 Chapter_22
مُسَلسَلات,"shows, (television) series, serials",noun Entertainment Chapter_13 Chapter_22
مٌشاهَدة,watching,noun Chapter_13
مَشْغول,busy,noun Chapter_13
مَشْغولون,busy (pl),noun Chapter_13
مَعاً,together,adv Chapter_13
مَعْجون,paste,noun Chapter_13
مَعاجين,pastes,noun Chapter_13
مَقليّ,fried,adj Food Chapter_13
نَسِيَ (يَنسى) نِسْيان,to forget,verb Chapter_13
نَظَّفَ (يُنَظِّفُ) تَنْظيف,to clean,verb Chapter_13
نَهَضَ (يَنهَضُ) نُهوض,to get up,verb Chapter_13
وَاللّهِ,"by God, I swear, really (used to add emphasis)",phrase Chapter_13
وَجْه,face,noun Body Chapter_13
وُجوه,faces,noun Body Chapter_13
يَد,hand,noun Body Chapter_13
أيْدٍ,hands,noun Body Chapter_13
اِنتَظَرَ (يَنْتَظِرُ) اِنتِظار,to wait,verb Chapter_14 Chapter_23
بَصَل,onion,noun Food Chapter_14
حَيّ,"neighborhood, borough; a living person",noun Chapter_14 Chapter_22
أحْياء,"neighborhoods, boroughs; living people",noun Chapter_14 Chapter_22
شو,what (Syrian colloquial),particle Chapter_14
صِحافة,journalism,noun Subjects Chapter_14
عاميّة,colloquial,adj Chapter_14
عَدَس,lentils,noun Food Chapter_14
عُطْلَةُ نِهايَةِ اﻷُسْبوعِ,weekend,noun Times Chapter_14
عُمْدَة,mayor,noun Titles Chapter_14
عُمَد,mayors,noun Titles Chapter_14
عيد,"celebration, festivity, feast day, holiday",noun Times Chapter_14
أعْياد,"celebrations, festivities, feast days, holidays",noun Times Chapter_14
فُصْحى,"Classical Arabic (lit., ""most eloquent"")",noun Languages Chapter_14
فَضَّلَ (يُفَضِّل) تَفْضيل,to prefer,verb Chapter_14
قِطار,train,noun Transportation Chapter_14
قِطارات,trains,noun Transportation Chapter_14
قَوْس,arch,noun Chapter_14
أقْواس,arches,noun Chapter_14
لَبَنة,"lightly salted, partially dehydrated yogurt with olive oil",noun Food Chapter_14
لِذلِكَ,"for this reason, therefore",adv Chapter_14
مَحَطّة,station,noun Locations Chapter_14
مَحَطّات,stations,noun Locations Chapter_14
مُزْدَحِم,crowded,adj Chapter_14
مَشْهور,"famous, well-known",adj Chapter_14 Chapter_23
"(ون), مَشاهير","famous, well-known (pl)",adj Chapter_14
مَعْكَرونة,"pasta, macaroni",noun Food Chapter_14
مَلْهىً,place of entertainment,noun Entertainment Chapter_14
مَلاهٍ,places of entertainment,noun Entertainment Chapter_14
مُهَنْدِس,engineer,noun Occupations Chapter_14
مُهَندِسون,engineers,noun Occupations Chapter_14
نَظيف,clean,adj Chapter_14
نِهاية,end,noun Common Chapter_14
نِهايات,ends,noun Common Chapter_14
اِحْتَفَلَ (يَحْتَفِلُ) اِحْتِفال بِـ,to celebrate,verb Chapter_14
اِسْتِقلال,independence,noun Abstract Chapter_15
إسلام,Islam,noun Islam Chapter_15
بَلَد,country,noun Places Chapter_15
بِلاد,countries,noun Places Chapter_15
تَخَرَّجَ (يتخرَّجُ) تَخَرُّج,to graduate,verb Chapter_15
تَرْبِية,"education, upbringing",noun Education Chapter_15
تَعليم,"instruction, education",noun Education Chapter_15
ثَوْرة,revolution,noun Chapter_15
ثَورات,revolutions,noun Chapter_15
حَجّ,pilgrimage,noun Islam Chapter_15
حَلْوى,"dessert, sweets",noun Food Chapter_15
حَلوَيات,"desserts, sweets",noun Food Chapter_15
خاصّ,"special, particular (to)",adj Chapter_15
ديك,rooster,noun Animals Chapter_15
دِيَكة,roosters,noun Animals Chapter_15
ديك حَبَش,turkey,noun Food Chapter_15
ذو,"with, of, owner of",noun Chapter_15
ذَوو,"with, of, owner of (pl)",noun Chapter_15
رأس,head,noun Body Chapter_15
رُؤوس,heads,noun Body Chapter_15 Chapter_16
زَيَّنَ (يُزَيِّنُ) تزيين,"to adorn, to decorate",verb Chapter_15 Chapter_16
ساحة,"square, courtyard",noun Locations Chapter_15
ساحات,"squares, courtyards",noun Locations Chapter_15 Chapter_19
سَلَّمَ (يُسَلِّمُ) تَسْليم,"to save, to protect",verb Chapter_15 Chapter_19
سِنّ,age of a person,noun Common Chapter_15
صارَ (يَصيرُ) صَيْر، صَيْرورة، مَصير,to become,verb Chapter_15
صامَ (يَصومُ) صوْم,to fast,verb Chapter_15
صَلّى (يُصَلّي),"to pray, to bless",verb Chapter_15
صَنَعَ (يَصنَعُ) صِناعة,"to manufacture, to make",verb Chapter_15
طَعلم,food,noun Food Chapter_15 Chapter_21
أطْعِمة,foods,noun Food Chapter_15
عِبارة,phrase,noun Grammar Chapter_15
عِبارات,phrases,noun Grammar Chapter_15
عَطّّلَ (يِعِطِّلُ) تَعْطيل,to be off from work,verb Chapter_15
عيدُ اﻷضْحى,Feast of Immolation/sacrifice,noun Holidays Chapter_15
عيدُ الشُكْرِ,Thanksgiving,noun Holidays Chapter_15
عيدُ الفِصْحِ,Easter,noun Holidays Chapter_15
عيدُ الفِطْرِ,feast of breaking the Ramadan fast,noun Holidays Chapter_15
عيدُ الميلاد,Christmas,noun Holidays Chapter_15
فَجْر,"dawn, daybreak",noun Times Chapter_15
فَطيرة,pie,noun Food Chapter_15
فَطائِر,pies,noun Food Chapter_15
قَرْع,pumpkin,noun Food Chapter_15
مُبارَك,blessed,noun Chapter_15
مُتَوَسِّط,intermediate,adj Common Chapter_15 Chapter_17
مُسْلِم,Muslim,noun Islam Chapter_15
مُسْلِمون,Muslims,noun Islam Chapter_15
المَسيح,Christ,noun Religious Chapter_15
مُعَلِّم,teacher,noun Occupations Chapter_15
مُعَلِّمون,teachers,noun Occupations Chapter_15
مَعلومة,information,noun Chapter_15
مَعلومات,information (pl),noun Chapter_15
مَغْرِب,sunset,noun Times Chapter_15
مُناسَبة,occasion,noun Chapter_15
مُناسَبات,occasions,noun Chapter_15
مِنْطَقة,region,noun Places Chapter_15
مَناطِق,regions,noun Places Chapter_15
مَوْلِد,"birthday, birthplace",noun Chapter_15
ميلاد,"birth, birthday",noun Chapter_15
مَواليد,"births, birthdays",noun Chapter_15
نَبيّ,prophet,noun Religious Chapter_15
أنْبياء,prophets,noun Religious Chapter_15
هَنَّأ (يُهَنِّئُ) تَهنئة,"to congratulate, to felicitate",verb Chapter_15
وُلِدَ (يولَدُ) وِﻻدة/مَوْلِد,to be born (passive),verb Chapter_15
اِجْتِماع,social gathering,noun Chapter_15
اِجْتِماعات,social gatherings,noun Chapter_16
اِستَخدَمَ (يَستَخدِمُ) اِستِخدام,"to use, to utilize, to employ",verb Chapter_16
اُسْتُشْهِدَ (يُستَشْهَدُ) اِسْتِشهاد,to become a martyr,verb Chapter_16 Chapter_18 Chapter_20
أسَّسَ (يُؤَسِّسُ) تأسيس,"to establish, to found",verb Chapter_16
أسْوَد,black,noun Colors Chapter_16
سود,black (pl),noun Colors Chapter_16
اُغْتيلَ (يُغتالُ) اِغتِيال,to be assassinated,verb Chapter_16
أمير,prince,noun Titles Chapter_16
أُمَراء,princes,noun Titles Chapter_16
اِنْتَخَبَ (يَنتَخِبُ) اِنتِخاب,to elect,verb Chapter_16
اﻷنْدَلُس,"Andalusia, Muslim Spain",noun Places Chapter_16
تاريخ,history,noun Subjects Chapter_16
تَواريخ,history (pl),noun Subjects Chapter_16
تَمييز,discrimination,noun Chapter_16
تُوُفِيَ (يُتَوَفّى) وَفاة,to pass away,verb Chapter_16
جامِع,mosque,noun Islam Chapter_16
جَوامِع,mosques,noun Islam Chapter_16
جائِزة,"prize, award",noun Chapter_16
جَوائِز,"prizes, awards",noun Chapter_16
جَبْر,algebra,noun Subjects Chapter_16
جُرِحَ (يُجرَحُ) جَرح,"to be wounded, to be hurt",verb Chapter_16
جُمهوريّة,republic,noun Chapter_16
جُمهوريّات,republics,noun Chapter_16
جَيْش,army,noun Chapter_16
جُيوش,armies,noun Chapter_16
حارَبَ (يُحارِبُ) حَرْب/مُحارَبة,to fight,verb Chapter_16
حَرْب,war,noun Chapter_16
حُروب,wars,noun Chapter_16
حِساب,account,noun Chapter_16
حِسابات,accounts,noun Chapter_16
حَصَلَ (يَحصُلُ) حُصول,"to acquire, to obtain, to get",verb Chapter_16
حَكَى (يَحْكي) حِكاية,to tell a story; to talk,verb Chapter_16
خَرَجَ (يَخرُجُ) خُروج,to go out; to exit,verb Chapter_16
خَطيب,"orator, preacher, speaker",noun Occupations Chapter_16
خُطَباء,"orators, preachers, speakers",noun Occupations Chapter_16
دَخَلَ (يَدخُلُ) دُخول,to enter,verb Chapter_16
دَفَعَ (يَدْفَعُ) دَفْع,to pay,verb Chapter_16
دِفاع,defense,noun Chapter_16 Chapter_23
دِفاعات,defenses,noun Chapter_16
رَفَضَ (يَرفُضُ/يَرفِضُ) رَفْض,to reject,verb Chapter_16
رَئيس,"leader, president",noun Occupations Chapter_16
رُؤَساء,"leaders, presidents",noun Occupations Chapter_16
زَعيم,leader (popular),noun Occupations Chapter_16
زُعَماء,leaders (popular),noun Occupations Chapter_16
شابّ,young man,noun People Chapter_16
شَباب,young men,noun People Chapter_16
شاعِر,poet,noun Occupations Chapter_16
شُعَراء,poets,noun Occupations Chapter_16
شَخصِيّة,"personality, character",noun Abstract Chapter_16
شَخصِيّات,"personalities, characters",noun Abstract Chapter_16
ضابِط,ranking officer,noun Chapter_16
ضُبّاط,ranking officers,noun Chapter_16
طَلَبَ (يَطْلُب) طَلَب,"to request, to order (e.g. in a restaurant)",verb Chapter_16
طولون,Toulon (a town in southern France),noun Places Chapter_16
عالِم,"scholar, scientist",noun Occupations Chapter_16
عُلَماء,"scholars, scientists",noun Occupations Chapter_16
عالِم اجْتِماع,sociologist,noun Occupations Chapter_16
عِلْم اجْتِماع,sociology,noun Subjects Chapter_16
عَرَّفَ (يُعَرِّف) تَعريف (على),to introduce someone to someone else,verb Chapter_16
عُنصٌر,"race, element",noun Chapter_16
عَناصِر,"races, elements",noun Chapter_16
عُنصُريّ,racial,adj Chapter_16
فَلْسَفة,philosophy,noun Subjects Chapter_16
فَلسَفات,philosophies,noun Subjects Chapter_16
فَيْلَسوف,philosopher,noun Occupations Chapter_16
فَلاسِفة,philosophers,noun Occupations Chapter_16
قامَ (يَقومُ) قِيام,"to do, to perform",verb Chapter_16
قانون,law,noun Subjects Chapter_16
قَوانين,laws,noun Subjects Chapter_16
قائد,leader (military),noun Occupations Chapter_16
قادة,leaders (military),noun Occupations Chapter_16
قَرية,village,noun Places Chapter_16
قُرى,villages,noun Places Chapter_16
قِسّيس,priest,noun Religious Chapter_16
قِسّاوِسة,priests,noun Religious Chapter_16
كاتِب,"writer, scribe",noun Occupations Chapter_16
كُتّاب/كَتَبة,"writers, scribes",noun Occupations Chapter_16
كرمال,for the sake of (Syrian colloquial),phrase Chapter_16
كَريم,generous,adj Chapter_16
كُرَماء,generous (pl),adj Chapter_16
ﻻزِم,necessary,adj Common Chapter_16
مُحامٍ,"lawyer, attorney, counsel",noun Occupations Chapter_16
مُحامون,"lawyers, attorneys, counsels",noun Occupations Chapter_16
مُشَكَّل,mixed,adj Chapter_16
مُقَدِّمة,introduction,noun Chapter_16
مَكان,"place, location",noun Chapter_16
أمْكِنة,"places, locations",noun Chapter_16 Chapter_19
مَلِك,king,noun Occupations Chapter_16 Chapter_19
مُلوك,kings,noun Occupations Chapter_16
مْنيح,good (Syrian colloquial),adj Common Chapter_16
امْناح,good (Syrian colloquial) (pl),adj Common Chapter_16
مُؤَرِّخ,historian,noun Occupations Chapter_16
مُؤَرِّخون,historians,noun Occupations Chapter_16
نُفِيَ (يُنْفى) نَفْيٌ,"to be sent into exile, to be expelled",verb Chapter_16
هَللأ/هَلَّق,now (Syrian colloquial),adv Common Chapter_16
وَزير,minister,noun Occupations Chapter_16
وُزَراء,ministers,noun Occupations Chapter_16
أَجْنَبيّ,foreigner,noun Chapter_16
أَجانِب,foreigners,noun Chapter_17
أجْنَبيّ/أجْنَبيَّة,foreign,adj Chapter_17
أَخَذَ (يَأخُذُ) أخْذ,to take,verb Chapter_17
أرْسَلَ (يُرسِلُ) إرْسال,to send,verb Chapter_17
اِسْتَقبَلَ (يَسْتَقبِلُ) اِستِقبال,to receive (someone),verb Chapter_17
اِعتَقَدَ (يَعتَقِدُ) اِعتِقاد,to believe,verb Chapter_17
اِلْتِهاب,"inflammation, infection",noun Medical Chapter_17 Chapter_23
اِلتِهابات,"inflammations, infections",noun Medical Chapter_17
ألَم,pain,noun Chapter_17
آلآم,pains,noun Chapter_17
آلَمَ (يُؤلِمُ),to hurt,verb Chapter_17
أمّا,"as for, but, yet, however",particle Chapter_17
بِداية,beginning,noun Chapter_17
بِدايات,beginnings,noun Chapter_17
بَسّ,only (Syrian colloquial),adv Chapter_17
بَوّابة,gate,noun Chapter_17
بَوّابات,gates,noun Chapter_17
جالِس,sitting,noun Chapter_17
جالِسون,sitting (pl),noun Chapter_17
حَبّة,pill,noun Medical Chapter_17
حَبّات,pills,noun Medical Chapter_17
حُكومة,government,noun Chapter_17
حُكومات,governments,noun Chapter_17
حَمَلَ (يَحْمِلُ) حَمْل,to carry,verb Chapter_17
رَأى (يَرى) رُؤية,to see,verb Chapter_17
رَبّةُ بَيْت,housewife,noun Occupations Chapter_17
رِبّات بُيوت,housewives,noun Occupations Chapter_17
رَح,future marker (=will in Syrian colloquial),particle Chapter_17
زَميل,"colleague, coworker",noun People Chapter_17
زُمَلاء,"colleagues, coworkers",noun People Chapter_17
ساعٍ,mail carrier,noun Occupations Chapter_17
سُعاة (ساعي بَريد),mail carriers,noun Occupations Chapter_17
ساعَدَ (يُساعِدُ) مُساعَدة,"to help, to assist",verb Chapter_17
سالِم,"safe, secure; healthy",noun Descriptive Chapter_17
سالِمون,"safe, secure; healthy (pl)",noun Descriptive Chapter_17
سَبَب,"reason, cause",noun Chapter_17
أسْباب,"reasons, causes",noun Chapter_17
الشام,"Syria, Damascus, Greater Syria",noun Places Chapter_17
شَراب,"drink, beverage, sherbert",noun Food Chapter_17
أشْرِبة، شَرابات,"drinks, beverages, sherberts",noun Food Chapter_17
ضِدٌّ,"opposite, anti-, adversary, opponent",noun Chapter_17
أضْداد,"opposites, anti-, adversaries, opponents",noun Chapter_17
ضِرْس,molar tooth,noun Body Chapter_17
أضْراس، ضُروس,molar teeth,noun Body Chapter_17
طَبيب,"physician, doctor",noun Occupations Chapter_17
أَطِبّاء,"physicians, doctors",noun Occupations Chapter_17
طَيِّب,good,noun Descriptive Chapter_17
طَيِّبون,goods,noun Descriptive Chapter_17
عام,year,noun Times Chapter_17
أعْوام,years,noun Times Chapter_17
عَجْقة,crowded (Syrian colloquial),noun Chapter_17
عَلِمَ (يَعْلَمُ) عِلْم,to know,verb Chapter_17
غُروب,sunset,noun Times Chapter_17
غَنيّ,"rich, wealthy",noun Descriptive Chapter_17
أغنِياء,"rich, wealthy (pl)",noun Descriptive Chapter_17
فـ,"and, then, so",particle Chapter_17
فائِدة,"benefit, use, advantage",noun Chapter_17
فَوائِد,"benefits, uses, advantages",noun Chapter_17
فَقير,poor,noun Descriptive Chapter_17
فُقَراء,poor (pl),noun Descriptive Chapter_17
قَلِقَ (يَقْلَق) قَلَق,to worry,verb Chapter_17
كَمل,as,particle Chapter_17
كَهْرَباء,electricity,noun Chapter_17
لَمْ,not (particle used to negate past-tense verbs),particle Chapter_17
لَيْلة,(a) night,noun Times Chapter_17
لَيالٍ,nights,noun Times Chapter_17
ما عَدا,except,particle Chapter_17
ماضٍ (الماضي),"previous, last, past",adj Common Chapter_17
مَدْرَسة,school,noun Education Chapter_17
مَدارِس,schools,noun Education Chapter_17
مُعايَدة,greeting,noun Chapter_17
مُعايَدات,greetings,noun Chapter_17
مَكْتوب,written,noun Chapter_17
مِنْحة,"scholarship, grant, gift",noun Education Chapter_17
مِنَح,"scholarships, grants, gifts",noun Education Chapter_17
نَوْع,"kind, sort",noun Chapter_17
أنْواع,"kinds, sorts",noun Chapter_17
وَجَدَ (يَجِدُ) وُجود,to find,verb Chapter_17
أثاث,furniture,noun Household Chapter_17
اِجْتَمَعَ (يَجْتَمِع) اِجْتِماع,to meet; to gather,verb Chapter_18
أجَّر (يؤجِّر) تأجير,"to lease, to let",verb Chapter_18
أُجْرة,"rent, wage, fare",noun Chapter_18
أُجور,"rents, wages, fares",noun Chapter_18
آخَر,other,noun Common Chapter_18
آخَرون,other (pl),noun Common Chapter_18
أريكة,couch,noun Household Chapter_18
أرائِك,couches,noun Household Chapter_18
استأجَرَ (يَستأجِرُ) استِئجار,"to rent, to hire",verb Chapter_18
أَعْجَبَ (يُعْجِبُ) إعْجاب,to please,verb Chapter_18
إعْلان,advertisement,noun Chapter_18
إعْلانات,advertisements,noun Chapter_18
أمامَ,in front of,prep Common Chapter_18
أنْ,to (infinitive),particle Chapter_18
أوروبا,Europe,noun Places Chapter_18
إيجار,rent,noun Chapter_18
إيجارات,rent (pl),noun Chapter_18
بَرّاد,refrigerator (Syria),noun Household Chapter_18
بَرّادات,refrigerators (Syria),noun Household Chapter_18
بَعيد,far,adv Chapter_18
بَقّال,grocer,noun Occupations Chapter_18
بَقّالون,grocers,noun Occupations Chapter_18
بَلَديّ,"local, popular",adj Chapter_18
بَنْك,bank (colloquial),noun Locations Chapter_18
بُنوك,banks (colloquial),noun Locations Chapter_18
تَأخَّرَ (يَتَأخَّرُ) تَأخُّر,to be late,verb Chapter_18
تأمين,insurance,noun Chapter_18 Chapter_24
تأمينات,insurance (pl),noun Chapter_18
تَليفون,telephone (colloquial),noun Household Chapter_18
تَليفونات,telephones (colloquial),noun Household Chapter_18
ثَلاّجة,refrigerator (Egypt),noun Household Chapter_18
ثلاّجات,refrigerators (Egypt),noun Household Chapter_18
جُزْء,part,noun Chapter_18
أجْزاء,parts,noun Chapter_18
جَلاّية,dishwasher,noun Household Chapter_18
جَلاّيات,dishwashers,noun Household Chapter_18
جُنَيه,[Egyptian] pound,noun Chapter_18
جُنَيْهات,[Egyptian] pounds,noun Chapter_18
حَديقة,"park, garden",noun Locations Chapter_18
حَدائِق,"parks, gardens",noun Locations Chapter_18
حَوْض,[bath] tub,noun Household Chapter_18
أحْواض,[bath] tubs,noun Household Chapter_18
خادِم,servant,noun Occupations Chapter_18
خَدَم,servants,noun Occupations Chapter_18
خَبّاز,baker,noun Occupations Chapter_18
خَبّازون,bakers,noun Occupations Chapter_18
خَشَب,"wood, lumber, timber",noun Chapter_18
أخْشاب,"wood, lumber, timber (pl)",noun Chapter_18
خُضَريّ,greengrocer,noun Occupations Chapter_18
خُضَريّون,greengrocers,noun Occupations Chapter_18
خَلفَ,behind,prep Common Chapter_18
دُكّان,"shop, store",noun Locations Chapter_18
دَكاكين,"shops, stores",noun Locations Chapter_18
دينار,"dinar (Algeria, Bahrain, Iraq, Kuwait)",noun Chapter_18
دَنانير,"dinars (Algeria, Bahrain, Iraq, Kuwait)",noun Chapter_18
سَخّان لِلماء,water heater,noun Chapter_18
شاحِنة,truck,noun Transportation Chapter_18
شاحِنات,trucks,noun Transportation Chapter_18
شَرِكة,company,noun Chapter_18
شَرِكات,companies,noun Chapter_18
صِحّة,health,noun Chapter_18
طابَق,"floor, story, flat",noun Chapter_18
طَوابِق,"floors, stories, flats",noun Chapter_18
على العُموم,"in general, generally",adv Chapter_18
عَلَّقَ (يُعَلِّقُ) تَعْليق,to hang,verb Chapter_18
عِيادة,"doctor's practice, clinic",noun Locations Chapter_18
عِيادات,"doctors' practices, clinics",noun Locations Chapter_18
عَيش,bread (Egypt),noun Food Chapter_18
غاز,[butane] gas,noun Chapter_18
غازات,[butane] gases,noun Chapter_18
غَسّالة,washing machine,noun Household Chapter_18
غَسّالات,washing machines,noun Household Chapter_18
فاخِر,"deluxe, fancy, excellent, luxurious",adj Chapter_18
لَيْرة,[Syrian] pound; lira,noun Chapter_18
لَيْرات,[Syrian] pounds; liras,noun Chapter_18
م (مِتْر),meter,noun Chapter_18
أمْتار,meters,noun Chapter_18
مَجْلى,kitchen sink,noun Household Chapter_18
مَجالٍ,kitchen sinks,noun Household Chapter_18
مَخْبَز,bakery,noun Locations Chapter_18
مَخابِز,bakeries,noun Locations Chapter_18
مُخَطَّط,"[floor] plan, map",noun Chapter_18
مُخَطّطات,"[floor] plans, maps",noun Chapter_18
مِرْآة,mirror,noun Household Chapter_18
مَرايا,mirrors,noun Household Chapter_18
مِرْحاض,toilet,noun Household Chapter_18
مَراحيض,toilets,noun Household Chapter_18
مُرْتَفِع,elevated,adj Chapter_18
مُريح,comfortable,adj Chapter_18
مِصْباح,lamp,noun Household Chapter_18
مَصابيح,lamps,noun Household Chapter_18
مَصْرِف,bank,noun Locations Chapter_18
مَصارِف,banks,noun Locations Chapter_18
مُطِلٌّ,overlooking,noun Chapter_18
مَغْسَلة,"washbasin, bathroom sink",noun Household Chapter_18
مَغاسِل,"washbasins, bathroom sinks",noun Household Chapter_18
مُقابِل,"opposite, across from",adv Chapter_18
مَلبَس,clothes,noun Clothing Chapter_18
مَلابِس,clothes (pl),noun Clothing Chapter_18
مَوْقِد,[cooking] range,noun Household Chapter_18
مَواقِد,[cooking] ranges,noun Household Chapter_18
مَوْقِف,"[bus] stop, parking lot",noun Transportation Chapter_18
مَواقِف,"[bus] stops, parking lots",noun Transportation Chapter_18
واسِع,"spacious, large",adj Chapter_18
وُجِدَ (يوجَدُ),"there is/are, to exist",verb Chapter_18
وَضَعَ (يَضَعُ) وَضْع,to put,verb Chapter_18
وَقَعَ (يَقَعُ) وُقوع/وَقْع,to be located; fall down,verb Chapter_18
يَسار,left,noun Directions Chapter_18
يَمين,right,noun Directions Chapter_18
آبَ (يَؤوبُ) إياب,to return,verb Chapter_18
أبيَض,white (m),adj Colors Chapter_19
بيض,white (m/f pl),adj Colors Chapter_19
أثَر,"ruin, antiquity, artifact, relic",noun Chapter_19 Chapter_20
آثار,"ruins, antiquities, artifacts, relics",noun Chapter_19
أجابَ (يُجيبُ) إجابة,"to respond, to answer",verb Chapter_19
إذاً,"then, therefore",adv Chapter_19
استَمتَعَ (يَستَمتِعُ) استِمتاع,to enjoy,verb Chapter_19
إلى أنْ,until,conj Chapter_19
آلة,"apparatus, device, gadget, machine",noun Chapter_19
آلات,"apparatuses, devices, gadgets, machines",noun Chapter_19
التَقى (يَلتَقي) التِقاء,"to meet, converge, encounter",verb Chapter_19
اِلْتَقَطَ (يَلْتَقِطُ) اِلْتِقاط,"to take, make (a picture); to pick up",verb Chapter_19
الّّتي,"who, that",noun Chapter_19 Chapter_24
الَّذي,"who, that",noun Chapter_19
امتَحَنَ (يَمتَحِنُ) امتِحان,"to examine, to test",verb Chapter_19
باكِراً,early,adv Chapter_19
بَريد,"mail, post",noun Chapter_19
بَقِيَ (يَبْقى) بَقاء,"to remain, to stay",verb Chapter_19
بَنى (يَبني) بِناء,"to build, to construct",verb Chapter_19 Chapter_20
تَجَوَّلَ (يَتَجَوَّلُ) تَجَوُّل,"to wander about, to tour",verb Chapter_19
تَذكِرة,ticket,noun Chapter_19
تَذاكِر,tickets,noun Chapter_19
تِمثال,statue,noun Chapter_19
تَماثيل,statues,noun Chapter_19
جَمَل,camel,noun Animals Chapter_19
جِمال,camels,noun Animals Chapter_19
حُرِّيّة,"liberty, freedom",noun Abstract Chapter_19
حُرِّيّات,"liberties, freedoms",noun Abstract Chapter_19
حَيَوان,animal,noun Animals Chapter_19
حَيَوانات,animals,noun Animals Chapter_19
دائماً,always,adv Chapter_19
دَخَّنَ (يُدَخِّنُ) تَدْخين,to smoke (e.g. a cigarette),verb Chapter_19
راح (يروح) على,to go (Syrian colloquial),verb Chapter_19
رَجا (يَرجو)رَجاء,to hope,verb Chapter_19
رَكِبَ (يَركَبُ) رُكوب,"to ride, to mount",verb Chapter_19
سادة,unsweetened coffee,noun Food Chapter_19
سارَ (يَسيرُ) سَيْر,"to move, to walk, to travel, to march, to follow",verb Chapter_19
سَعيد,"happy, pleased, joyful",adj Chapter_19
سُعَداء,"happy, pleased, joyful (pl)",adj Chapter_19
سُؤال,"question, query",noun Chapter_19
أسئِلة,"questions, queries",noun Chapter_19
شَلاّل,waterfall,noun Chapter_19
شَلاّلات,waterfalls,noun Chapter_19
شَمال,north; left,noun Directions Chapter_19
صَحّة و هَنا,bon appétit (Syrian colloquial),phrase Chapter_19
صِناعة,industry,noun Chapter_19
صِناعات,industries,noun Chapter_19
سَوَّرَ (يُصَوِّرُ) تَصوير,"to make a picture, to portray, to illustrate",verb Chapter_19
عَدَد,number (quantity),noun Chapter_19
أعْداد,numbers (quantity),noun Chapter_19
عَرْض,"show, demonstration, performance",noun Entertainment Chapter_19
عُروض,"shows, demonstrations, performances",noun Entertainment Chapter_19
